DATA INICIAL,DATA FINAL,PRODUTO,NÚMERO DE POSTOS PESQUISADOS,UNIDADE DE MEDIDA,PREÇO MÉDIO REVENDA,DESVIO PADRÃO REVENDA,PREÇO MÍNIMO REVENDA,PREÇO MÁXIMO REVENDA,MARGEM MÉDIA REVENDA,COEF DE VARIAÇÃO REVENDA,PREÇO MÉDIO DISTRIBUIÇÃO,DESVIO PADRÃO DISTRIBUIÇÃO,PREÇO MÍNIMO DISTRIBUIÇÃO,PREÇO MÁXIMO DISTRIBUIÇÃO,COEF DE VARIAÇÃO DISTRIBUIÇÃO
12/30/12,1/5/13,ETANOL HIDRATADO,8173,R$/l,"1,948","0,244","1,479","3,000","0,262","0,125","1,686","0,219","1,300","2,363","0,130"
12/30/12,1/5/13,ÓLEO DIESEL,6813,R$/l,"2,153","0,114","1,869","2,950","0,226","0,053","1,927","0,082","1,728","2,570","0,043"
12/30/12,1/5/13,ÓLEO DIESEL S10,284,R$/l,"2,202","0,079","1,999","2,480","0,245","0,036","1,957","0,044","1,839","2,117","0,022"
12/30/12,1/5/13,GASOLINA COMUM,8672,R$/l,"2,758","0,147","2,269","3,799","0,385","0,053","2,373","0,110","2,120","2,890","0,046"
12/30/12,1/5/13,GLP,8052,R$/13Kg,"40,113","4,017","26,000","62,000","10,362","0,100","29,751","4,514","16,140","45,000","0,152"
12/30/12,1/5/13,GNV,499,R$/m3,"1,757","0,176","1,399","2,599","0,431","0,100","1,326","0,146","0,835","1,822","0,110"
1/6/13,1/12/13,ETANOL HIDRATADO,8181,R$/l,"1,958","0,241","1,479","3,120","0,269","0,123","1,689","0,218","1,300","2,475","0,129"
1/6/13,1/12/13,ÓLEO DIESEL,6776,R$/l,"2,154","0,114","1,869","2,950","0,227","0,053","1,927","0,081","1,696","2,570","0,042"
1/6/13,1/12/13,ÓLEO DIESEL S10,545,R$/l,"2,222","0,103","2,039","2,740","0,235","0,046","1,987","0,068","1,840","2,393","0,034"
1/6/13,1/12/13,GASOLINA COMUM,8665,R$/l,"2,764","0,146","2,269","3,799","0,388","0,053","2,376","0,109","2,102","2,890","0,046"
1/6/13,1/12/13,GLP,8053,R$/13Kg,"40,143","4,001","26,000","62,000","10,297","0,100","29,846","4,433","17,409","45,000","0,149"
1/6/13,1/12/13,GNV,524,R$/m3,"1,767","0,166","1,379","2,599","0,427","0,094","1,340","0,147","0,947","1,822","0,110"
1/13/13,1/19/13,ETANOL HIDRATADO,8183,R$/l,"1,951","0,242","1,489","3,120","0,267","0,124","1,684","0,223","1,250","2,384","0,132"
1/13/13,1/19/13,ÓLEO DIESEL,6742,R$/l,"2,152","0,113","1,890","2,940","0,228","0,053","1,924","0,079","1,731","2,457","0,041"
1/13/13,1/19/13,ÓLEO DIESEL S10,1213,R$/l,"2,227","0,107","1,999","2,950","0,238","0,048","1,989","0,070","1,820","2,393","0,035"
